Código;Descripción;Padre;;;;;;;;;;;;;;;;;;;;;;;
3413;Auxiliares laicos de las religiones;341;;;;;;;;;;;;;;;;;;;;;;;
342;Entrenadores de deportes y aptitud física;34;;;;;;;;;;;;;;;;;;;;;;;
3421;Atletas y deportistas;342;;;;;;;;;;;;;;;;;;;;;;;
3422;Entrenadores, instructores y árbitros de actividades deportivas;342;;;;;;;;;;;;;;;;;;;;;;;
3423;Instructores de educación física y actividades recreativas;342;;;;;;;;;;;;;;;;;;;;;;;
343;Técnicos y profesionales del nivel medio en actividades culturales, artísticas y culinarias;34;;;;;;;;;;;;;;;;;;;;;;;
3431;Fotógrafos;343;;;;;;;;;;;;;;;;;;;;;;;
3432;Diseñadores y decoradores de interiores;343;;;;;;;;;;;;;;;;;;;;;;;
3433;Técnicos en galerías de arte, museos y bibliotecas;343;;;;;;;;;;;;;;;;;;;;;;;
3434;Chefs;343;;;;;;;;;;;;;;;;;;;;;;;
3435;Otros técnicos y profesionales del nivel medio en actividades culturales y artísticas;343;;;;;;;;;;;;;;;;;;;;;;;
35;TÉCNICOS EN TECNOLOGÍA DE LA INFORMACIÓN Y LAS COMUNICACIONES;3;;;;;;;;;;;;;;;;;;;;;;;
351;Técnicos en operaciones de tecnología de la información, las comunicaciones y asistencia al usuario;35;;;;;;;;;;;;;;;;;;;;;;;
3511;Técnicos en operaciones de tecnología de la información y las comunicaciones;351;;;;;;;;;;;;;;;;;;;;;;;
3512;Técnicos en asistencia y soporte al usuario de tecnología de la información y las comunicaciones;351;;;;;;;;;;;;;;;;;;;;;;;
3513;Técnicos en redes y sistemas de computación;351;;;;;;;;;;;;;;;;;;;;;;;
3514;Técnicos de la Web;351;;;;;;;;;;;;;;;;;;;;;;;
352;Técnicos en telecomunicaciones y radiodifusión;35;;;;;;;;;;;;;;;;;;;;;;;
3521;Técnicos de radiodifusión y grabación audio visual;352;;;;;;;;;;;;;;;;;;;;;;;
3522;Técnicos de ingeniería de las telecomunicaciones;352;;;;;;;;;;;;;;;;;;;;;;;
4;PERSONAL DE APOYO ADMINISTRATIVO;;;;;;;;;;;;;;;;;;;;;;;;
41;OFICINISTAS;4;;;;;;;;;;;;;;;;;;;;;;;
411;Oficinistas generales;41;;;;;;;;;;;;;;;;;;;;;;;
4110;Oficinistas generales;411;;;;;;;;;;;;;;;;;;;;;;;
412;Secretarios generales;41;;;;;;;;;;;;;;;;;;;;;;;
4120;Secretarios generales;412;;;;;;;;;;;;;;;;;;;;;;;
413;Operadores de máquinas de oficina;41;;;;;;;;;;;;;;;;;;;;;;;
